,Country,Code,Indicator,Year,Co2_per
103,BIRF y la AIF,IBT,Emisiones de CO2 (toneladas métricas per capita),1990,2.165862253
104,total de la AIF,IDA,Emisiones de CO2 (toneladas métricas per capita),1990,0.488864146
105,mezcla de la AIF,IDB,Emisiones de CO2 (toneladas métricas per capita),1990,0.991437718
106,Indonesia,IDN,Emisiones de CO2 (toneladas métricas per capita),1990,0.814355526
107,Solo AIF,IDX,Emisiones de CO2 (toneladas métricas per capita),1990,0.24276697
108,Isla de Man,IMN,Emisiones de CO2 (toneladas métricas per capita),1990,
109,India,IND,Emisiones de CO2 (toneladas métricas per capita),1990,0.647451316
110,No clasificado,INX,Emisiones de CO2 (toneladas métricas per capita),1990,
111,Irlanda,IRL,Emisiones de CO2 (toneladas métricas per capita),1990,8.810964452
112,"Iran, Republica Islamica del",IRN,Emisiones de CO2 (toneladas métricas per capita),1990,3.557246653
113,Iraq,IRQ,Emisiones de CO2 (toneladas métricas per capita),1990,3.636029826
114,Islandia,ISL,Emisiones de CO2 (toneladas métricas per capita),1990,7.642312794
115,Israel,ISR,Emisiones de CO2 (toneladas métricas per capita),1990,7.254484979
116,Italia,ITA,Emisiones de CO2 (toneladas métricas per capita),1990,7.145053425
117,Jamaica,JAM,Emisiones de CO2 (toneladas métricas per capita),1990,3.121532757
118,Jordania,JOR,Emisiones de CO2 (toneladas métricas per capita),1990,2.854116274
119,Japon,JPN,Emisiones de CO2 (toneladas métricas per capita),1990,8.831598341
120,Kazajstan,KAZ,Emisiones de CO2 (toneladas métricas per capita),1990,14.51253364
121,Kenya,KEN,Emisiones de CO2 (toneladas métricas per capita),1990,0.270655694
122,Kirguistan,KGZ,Emisiones de CO2 (toneladas métricas per capita),1990,5.183617234
123,Camboya,KHM,Emisiones de CO2 (toneladas métricas per capita),1990,0.141448003
124,Kiribati,KIR,Emisiones de CO2 (toneladas métricas per capita),1990,0.319471807
125,Saint Kitts y Nevis,KNA,Emisiones de CO2 (toneladas métricas per capita),1990,2.798011615
126,"Corea, República de",KOR,Emisiones de CO2 (toneladas métricas per capita),1990,5.777465417
127,Kuwait,KWT,Emisiones de CO2 (toneladas métricas per capita),1990,17.39073327
128,America Latina y el Caribe (excluido altos ingresos),LAC,Emisiones de CO2 (toneladas métricas per capita),1990,1.852064397
129,Republica Democratica Popular Lao,LAO,Emisiones de CO2 (toneladas métricas per capita),1990,0.118893679
130,Líbano,LBN,Emisiones de CO2 (toneladas métricas per capita),1990,1.564432201
131,Liberia,LBR,Emisiones de CO2 (toneladas métricas per capita),1990,0.205373414
132,Libia,LBY,Emisiones de CO2 (toneladas métricas per capita),1990,6.750912147
133,Santa Lucía,LCA,Emisiones de CO2 (toneladas métricas per capita),1990,1.354874527
134,America Latina y el Caribe,LCN,Emisiones de CO2 (toneladas métricas per capita),1990,2.016329965
135,Paises menos desarrollados: clasificacion de las Naciones Unidas,LDC,Emisiones de CO2 (toneladas métricas per capita),1990,0.129164435
136,Paies de ingreso bajo,LIC,Emisiones de CO2 (toneladas métricas per capita),1990,0.626465514
137,Liechtenstein,LIE,Emisiones de CO2 (toneladas métricas per capita),1990,6.917116496
138,Sri Lanka,LKA,Emisiones de CO2 (toneladas métricas per capita),1990,0.223156186
139,Paises de ingreso mediano bajo,LMC,Emisiones de CO2 (toneladas métricas per capita),1990,1.140232724
140,Ingreso mediano y bajo,LMY,Emisiones de CO2 (toneladas métricas per capita),1990,2.075752708
141,Lesotho,LSO,Emisiones de CO2 (toneladas métricas per capita),1990,0.775710021
142,avanzada del dividendo demografico,LTE,Emisiones de CO2 (toneladas métricas per capita),1990,3.378984284
143,Lituania,LTU,Emisiones de CO2 (toneladas métricas per capita),1990,8.712631543
144,Luxemburgo,LUX,Emisiones de CO2 (toneladas métricas per capita),1990,29.55348959
145,Letonia,LVA,Emisiones de CO2 (toneladas métricas per capita),1990,7.050820626
146,"Region Administrativa Especial de Macao, China",MAC,Emisiones de CO2 (toneladas métricas per capita),1990,
147,Isla de San Martín (parte francesa),MAF,Emisiones de CO2 (toneladas métricas per capita),1990,
148,Marruecos,MAR,Emisiones de CO2 (toneladas métricas per capita),1990,0.874932349
149,Monaco,MCO,Emisiones de CO2 (toneladas métricas per capita),1990,
150,Republica de Moldova,MDA,Emisiones de CO2 (toneladas métricas per capita),1990,10.29410872
151,Madagascar,MDG,Emisiones de CO2 (toneladas métricas per capita),1990,0.074993507
152,Maldivas,MDV,Emisiones de CO2 (toneladas métricas per capita),1990,0.696577568
153,Oriente Medio y Norte de Africa,MEA,Emisiones de CO2 (toneladas métricas per capita),1990,3.356922479
154,Mexico,MEX,Emisiones de CO2 (toneladas métricas per capita),1990,3.29875169
155,Islas Marshall,MHL,Emisiones de CO2 (toneladas métricas per capita),1990,0.0
156, Ingreso mediano,MIC,Emisiones de CO2 (toneladas métricas per capita),1990,2.181503271
157,Macedonia del Norte,MKD,Emisiones de CO2 (toneladas métricas per capita),1990,4.202822265
158,Mali,MLI,Emisiones de CO2 (toneladas métricas per capita),1990,0.048743402
159,Malta,MLT,Emisiones de CO2 (toneladas métricas per capita),1990,6.535279668
160,Myanmar,MMR,Emisiones de CO2 (toneladas métricas per capita),1990,0.101821584
161,Oriente Medio y Norte de Africa (excluido altos ingresos),MNA,Emisiones de CO2 (toneladas métricas per capita),1990,2.329048198
162,Montenegro,MNE,Emisiones de CO2 (toneladas métricas per capita),1990,3.15868849
163,Mongolia,MNG,Emisiones de CO2 (toneladas métricas per capita),1990,5.999769597
164,Mariana,MNP,Emisiones de CO2 (toneladas métricas per capita),1990,
165,Mozambique,MOZ,Emisiones de CO2 (toneladas métricas per capita),1990,0.083980414
166,Mauritania,MRT,Emisiones de CO2 (toneladas métricas per capita),1990,0.419635429
167,Mauricio,MUS,Emisiones de CO2 (toneladas métricas per capita),1990,1.099478171
168,Malawi,MWI,Emisiones de CO2 (toneladas métricas per capita),1990,0.075733267
169,Malasia,MYS,Emisiones de CO2 (toneladas métricas per capita),1990,3.117818784
170,America del Norte,NAC,Emisiones de CO2 (toneladas métricas per capita),1990,18.97805768
171,Namibia,NAM,Emisiones de CO2 (toneladas métricas per capita),1990,
172,Nueva Caledonia,NCL,Emisiones de CO2 (toneladas métricas per capita),1990,
173,Niger,NER,Emisiones de CO2 (toneladas métricas per capita),1990,0.067549609
174,Nigeria,NGA,Emisiones de CO2 (toneladas métricas per capita),1990,0.764263696
175,Nicaragua,NIC,Emisiones de CO2 (toneladas métricas per capita),1990,0.457422501
176,Paises Bajos,NLD,Emisiones de CO2 (toneladas métricas per capita),1990,10.1341403
177,Noruega,NOR,Emisiones de CO2 (toneladas métricas per capita),1990,6.909250631
178,Nepal,NPL,Emisiones de CO2 (toneladas métricas per capita),1990,0.047857598
179,Nauru,NRU,Emisiones de CO2 (toneladas métricas per capita),1990,13.15899146
180,Nueva Zelandia,NZL,Emisiones de CO2 (toneladas métricas per capita),1990,6.700312331
181,Miembros OCDE,OED,Emisiones de CO2 (toneladas métricas per capita),1990,10.26805322
182,Oman,OMN,Emisiones de CO2 (toneladas métricas per capita),1990,6.605232183
183,Otros Estados pequeos,OSS,Emisiones de CO2 (toneladas métricas per capita),1990,4.713085752
184,Pakistan,PAK,Emisiones de CO2 (toneladas métricas per capita),1990,0.511428117
185,Panama,PAN,Emisiones de CO2 (toneladas métricas per capita),1990,1.099157213
186,Peru,PER,Emisiones de CO2 (toneladas métricas per capita),1990,0.944194967
187,Filipinas,PHL,Emisiones de CO2 (toneladas métricas per capita),1990,0.663899149
188,Palau,PLW,Emisiones de CO2 (toneladas métricas per capita),1990,0.0
189,Papua Nueva Guinea,PNG,Emisiones de CO2 (toneladas métricas per capita),1990,0.56109074
190,Polonia,POL,Emisiones de CO2 (toneladas métricas per capita),1990,9.189383729
191,previa al dividendo demografico,PRE,Emisiones de CO2 (toneladas métricas per capita),1990,0.449708023
192,Puerto Rico,PRI,Emisiones de CO2 (toneladas métricas per capita),1990,
193,"Corea, Republica Popular Democrática de",PRK,Emisiones de CO2 (toneladas métricas per capita),1990,5.736069044
194,Portugal,PRT,Emisiones de CO2 (toneladas métricas per capita),1990,4.113763718
195,Paraguay,PRY,Emisiones de CO2 (toneladas métricas per capita),1990,0.510495308
196,Ribera Occidental y Gaza,PSE,Emisiones de CO2 (toneladas métricas per capita),1990,
197,Estados pequeos de las Islas del Pacfico,PSS,Emisiones de CO2 (toneladas métricas per capita),1990,0.710814905
198,posterior al dividendo demográfico,PST,Emisiones de CO2 (toneladas métricas per capita),1990,11.72341115
199,Polinesia Francesa,PYF,Emisiones de CO2 (toneladas métricas per capita),1990,
200,Qatar,QAT,Emisiones de CO2 (toneladas métricas per capita),1990,28.3996151
201,Rumania,ROU,Emisiones de CO2 (toneladas métricas per capita),1990,7.440514942
202,Federación de Rusia,RUS,Emisiones de CO2 (toneladas métricas per capita),1990,14.62148929
203,Rwanda,RWA,Emisiones de CO2 (toneladas métricas per capita),1990,0.073273604
204,Asia meridional,SAS,Emisiones de CO2 (toneladas métricas per capita),1990,0.561889908
205,Arabia Saudita,SAU,Emisiones de CO2 (toneladas métricas per capita),1990,10.70951816
206,Sudan,SDN,Emisiones de CO2 (toneladas métricas per capita),1990,0.254407994
207,Senegal,SEN,Emisiones de CO2 (toneladas métricas per capita),1990,0.308691573
208,Singapur,SGP,Emisiones de CO2 (toneladas métricas per capita),1990,9.507300635
209,Islas Salomon,SLB,Emisiones de CO2 (toneladas métricas per capita),1990,0.471664646
210,Sierra Leona,SLE,Emisiones de CO2 (toneladas métricas per capita),1990,0.073519416
211,El Salvador,SLV,Emisiones de CO2 (toneladas métricas per capita),1990,0.444050776
212,San Marino,SMR,Emisiones de CO2 (toneladas métricas per capita),1990,
213,Somalia,SOM,Emisiones de CO2 (toneladas métricas per capita),1990,0.105030707
214,Serbia,SRB,Emisiones de CO2 (toneladas métricas per capita),1990,8.160624835
215,Africa al sur del Sahara (excluido altos ingresos),SSA,Emisiones de CO2 (toneladas métricas per capita),1990,0.777550961
216,Sudan del Sur,SSD,Emisiones de CO2 (toneladas métricas per capita),1990,0.09132854
217,Africa al sur del Sahara,SSF,Emisiones de CO2 (toneladas métricas per capita),1990,0.777742887
218,Pequeños Estados,SST,Emisiones de CO2 (toneladas métricas per capita),1990,4.402448313
219,Santo Tome y Principe,STP,Emisiones de CO2 (toneladas métricas per capita),1990,0.386395553
220,Suriname,SUR,Emisiones de CO2 (toneladas métricas per capita),1990,4.263991552
221,Republica Eslovaca,SVK,Emisiones de CO2 (toneladas métricas per capita),1990,10.3434357
222,Eslovenia,SVN,Emisiones de CO2 (toneladas métricas per capita),1990,6.77062559
223,Suecia,SWE,Emisiones de CO2 (toneladas métricas per capita),1990,6.232880994
224,Eswatini,SWZ,Emisiones de CO2 (toneladas métricas per capita),1990,1.28944475
225,Sint Maarten (Dutch part),SXM,Emisiones de CO2 (toneladas métricas per capita),1990,
