Indicator,Code,Year,Pop
Poblacion Total,CHN,2006,1311020000
Poblacion Total,CIV,2006,19394057
Poblacion Total,CMR,2006,17751333
Poblacion Total,COD,2006,58381630
Poblacion Total,COG,2006,3813323
Poblacion Total,COL,2006,42772910
Poblacion Total,COM,2006,604658
Poblacion Total,CPV,2006,498884
Poblacion Total,CRI,2006,4378172
Poblacion Total,CSS,2006,6844183
Poblacion Total,CUB,2006,11260630
Poblacion Total,CUW,2006,141239
Poblacion Total,CYM,2006,48177
Poblacion Total,CYP,2006,1055438
Poblacion Total,CZE,2006,10238905
Poblacion Total,DEU,2006,82376451
Poblacion Total,DJI,2006,846947
Poblacion Total,DMA,2006,68742
Poblacion Total,DNK,2006,5437272
Poblacion Total,DOM,2006,9284168
Poblacion Total,DZA,2006,33435080
Poblacion Total,EAP,2006,1911721676
Poblacion Total,EAR,2006,2769421149
Poblacion Total,EAS,2006,2148405823
Poblacion Total,ECA,2006,372780224
Poblacion Total,ECS,2006,875627934
Poblacion Total,ECU,2006,14009061
Poblacion Total,EGY,2006,80629670
Poblacion Total,EMU,2006,330939600
Poblacion Total,ERI,2006,2880093
Poblacion Total,ESP,2006,44397319
Poblacion Total,EST,2006,1346810
Poblacion Total,ETH,2006,79691050
Poblacion Total,EUU,2006,437014860
Poblacion Total,FCS,2006,706884119
Poblacion Total,FIN,2006,5266268
Poblacion Total,FJI,2006,883083
Poblacion Total,FRA,2006,63628261
Poblacion Total,FRO,2006,48313
Poblacion Total,FSM,2006,110301
Poblacion Total,GAB,2006,1502534
Poblacion Total,GBR,2006,60846820
Poblacion Total,GEO,2006,3880347
Poblacion Total,GHA,2006,23098586
Poblacion Total,GIB,2006,29587
Poblacion Total,GIN,2006,9330625
Poblacion Total,GMB,2006,1711294
Poblacion Total,GNB,2006,1414091
Poblacion Total,GNQ,2006,905418
Poblacion Total,GRC,2006,11020362
Poblacion Total,GRD,2006,110988
Poblacion Total,GRL,2006,56774
Poblacion Total,GTM,2006,13213330
Poblacion Total,GUM,2006,164675
Poblacion Total,GUY,2006,758367
Poblacion Total,HIC,2006,1145510251
Poblacion Total,HKG,2006,6857100
Poblacion Total,HND,2006,7745200
Poblacion Total,HPC,2006,563930944
Poblacion Total,HRV,2006,4311159
Poblacion Total,HTI,2006,9266288
Poblacion Total,HUN,2006,10071370
Poblacion Total,IBD,2006,4252600296
Poblacion Total,IBT,2006,5539726956
Poblacion Total,IDA,2006,1287126660
Poblacion Total,IDB,2006,429250772
Poblacion Total,IDN,2006,231797427
Poblacion Total,IDX,2006,857875888
Poblacion Total,IMN,2006,80228
Poblacion Total,IND,2006,1172373788
Poblacion Total,INX,2006,
Poblacion Total,IRL,2006,4273591
Poblacion Total,IRN,2006,71275760
Poblacion Total,IRQ,2006,28905607
Poblacion Total,ISL,2006,303782
Poblacion Total,ISR,2006,7053700
Poblacion Total,ITA,2006,58143979
Poblacion Total,JAM,2006,2689660
Poblacion Total,JOR,2006,6075548
Poblacion Total,JPN,2006,127854000
Poblacion Total,KAZ,2006,15308085
Poblacion Total,KEN,2006,36925253
Poblacion Total,KGZ,2006,5218400
Poblacion Total,KHM,2006,13477779
Poblacion Total,KIR,2006,100083
Poblacion Total,KNA,2006,46874
Poblacion Total,KOR,2006,48438292
Poblacion Total,KWT,2006,2363409
Poblacion Total,LAC,2006,506094784
Poblacion Total,LAO,2006,5946593
Poblacion Total,LBN,2006,4719864
Poblacion Total,LBR,2006,3455397
Poblacion Total,LBY,2006,5973369
Poblacion Total,LCA,2006,166470
Poblacion Total,LCN,2006,563424119
Poblacion Total,LDC,2006,768211301
Poblacion Total,LIC,2006,455313027
Poblacion Total,LIE,2006,34889
Poblacion Total,LKA,2006,19870706
Poblacion Total,LMC,2006,2513577643
Poblacion Total,LMY,2006,5462498035
Poblacion Total,LSO,2006,1976780
Poblacion Total,LTE,2006,2128519993
Poblacion Total,LTU,2006,3269909
Poblacion Total,LUX,2006,472637
Poblacion Total,LVA,2006,2218357
Poblacion Total,MAC,2006,501863
Poblacion Total,MAF,2006,34183
Poblacion Total,MAR,2006,30833022
Poblacion Total,MCO,2006,32011
Poblacion Total,MDA,2006,2880967
Poblacion Total,MDG,2006,19350299
Poblacion Total,MDV,2006,314401
Poblacion Total,MEA,2006,362633997
Poblacion Total,MEX,2006,106886790
Poblacion Total,MHL,2006,54208
Poblacion Total,MIC,2006,5007185008
Poblacion Total,MKD,2006,2040228
Poblacion Total,MLI,2006,13623541
Poblacion Total,MLT,2006,405308
Poblacion Total,MMR,2006,48088274
Poblacion Total,MNA,2006,317983066
Poblacion Total,MNE,2006,615025
Poblacion Total,MNG,2006,2581242
Poblacion Total,MNP,2006,66060
Poblacion Total,MOZ,2006,20735982
Poblacion Total,MRT,2006,3081229
Poblacion Total,MUS,2006,1233996
Poblacion Total,MWI,2006,13118307
Poblacion Total,MYS,2006,26509413
Poblacion Total,NAC,2006,331015609
Poblacion Total,NAM,2006,1986558
Poblacion Total,NCL,2006,235750
Poblacion Total,NER,2006,14365168
Poblacion Total,NGA,2006,144329764
Poblacion Total,NIC,2006,5529811
Poblacion Total,NLD,2006,16346101
Poblacion Total,NOR,2006,4660677
Poblacion Total,NPL,2006,26518971
Poblacion Total,NRU,2006,10294
Poblacion Total,NZL,2006,4184600
Poblacion Total,OED,2006,1254649810
Poblacion Total,OMN,2006,2560649
Poblacion Total,OSS,2006,24035320
Poblacion Total,PAK,2006,178069984
Poblacion Total,PAN,2006,3368573
Poblacion Total,PER,2006,28381078
Poblacion Total,PHL,2006,87901835
Poblacion Total,PLW,2006,19619
Poblacion Total,PNG,2006,6708217
Poblacion Total,POL,2006,38141267
Poblacion Total,PRE,2006,659115651
Poblacion Total,PRI,2006,3805214
Poblacion Total,PRK,2006,24235761
Poblacion Total,PRT,2006,10522288
Poblacion Total,PRY,2006,5534675
Poblacion Total,PSE,2006,3406334
Poblacion Total,PSS,2006,2199540
Poblacion Total,PST,2006,1052106032
Poblacion Total,PYF,2006,274901
Poblacion Total,QAT,2006,1015060
Poblacion Total,ROU,2006,21193760
Poblacion Total,RUS,2006,143049637
Poblacion Total,RWA,2006,9270066
Poblacion Total,SAS,2006,1565892885
Poblacion Total,SAU,2006,25382870
Poblacion Total,SDN,2006,30332968
Poblacion Total,SEN,2006,11263387
Poblacion Total,SGP,2006,4401365
Poblacion Total,SLB,2006,493430
Poblacion Total,SLE,2006,5809774
Poblacion Total,SLV,2006,6034436
Poblacion Total,SMR,2006,29959
Poblacion Total,SOM,2006,10784973
Poblacion Total,SRB,2006,7411569
Poblacion Total,SSA,2006,788025400
Poblacion Total,SSD,2006,8029517
Poblacion Total,SSF,2006,788110000
Poblacion Total,SST,2006,33079043
Poblacion Total,STP,2006,165725
Poblacion Total,SUR,2006,522023
Poblacion Total,SVK,2006,5373054
Poblacion Total,SVN,2006,2006868
Poblacion Total,SWE,2006,9080505
Poblacion Total,SWZ,2006,1077735
Poblacion Total,SXM,2006,33441
Poblacion Total,SYC,2006,84600
Poblacion Total,SYR,2006,19432009
Poblacion Total,TCA,2006,25128
Poblacion Total,TCD,2006,10365614
Poblacion Total,TEA,2006,1887496209
Poblacion Total,TEC,2006,436426410
Poblacion Total,TGO,2006,5874240
Poblacion Total,THA,2006,66319525
Poblacion Total,TJK,2006,7057417
Poblacion Total,TKM,2006,4954029
Poblacion Total,TLA,2006,547224720
Poblacion Total,TLS,2006,994564
Poblacion Total,TMN,2006,314576732
Poblacion Total,TON,2006,106190
Poblacion Total,TSA,2006,1565892885
Poblacion Total,TSS,2006,788110000
Poblacion Total,TTO,2006,1376919
Poblacion Total,TUN,2006,10483558
Poblacion Total,TUR,2006,69601333
Poblacion Total,TUV,2006,10030
Poblacion Total,TZA,2006,40562052
Poblacion Total,UGA,2006,28773227
Poblacion Total,UKR,2006,46787786
Poblacion Total,UMC,2006,2493607365
Poblacion Total,URY,2006,3322282
Poblacion Total,USA,2006,298379912
Poblacion Total,UZB,2006,26488250
Poblacion Total,VCT,2006,111427
Poblacion Total,VEN,2006,27102081
Poblacion Total,VGB,2006,24323
Poblacion Total,VIR,2006,108369
Poblacion Total,VNM,2006,83951800
Poblacion Total,VUT,2006,222923
Poblacion Total,WLD,2006,6635110367
Poblacion Total,WSM,2006,189379
Poblacion Total,XKX,2006,1719536
Poblacion Total,YEM,2006,21966298
Poblacion Total,ZAF,2006,49491756
Poblacion Total,ZMB,2006,11971567
Poblacion Total,ZWE,2006,12330490
Poblacion Total,ABW,2007,96787
Poblacion Total,AFG,2007,25903301
Poblacion Total,AGO,2007,20909684
Poblacion Total,ALB,2007,2970017
Poblacion Total,AND,2007,78168
Poblacion Total,ARB,2007,337498222
Poblacion Total,ARE,2007,5872624
Poblacion Total,ARG,2007,39876111
Poblacion Total,ARM,2007,3004393
Poblacion Total,ASM,2007,56383
Poblacion Total,ATG,2007,82016
Poblacion Total,AUS,2007,20827622
Poblacion Total,AUT,2007,8295487
Poblacion Total,AZE,2007,8581300
Poblacion Total,BDI,2007,7944609
Poblacion Total,BEL,2007,10625700
Poblacion Total,BEN,2007,8647761
Poblacion Total,BFA,2007,14757074
Poblacion Total,BGD,2007,144135934
Poblacion Total,BGR,2007,7545338
Poblacion Total,BHR,2007,1040532
Poblacion Total,BHS,2007,357666
Poblacion Total,BIH,2007,4007876
Poblacion Total,BLR,2007,9560953
Poblacion Total,BLZ,2007,297173
Poblacion Total,BMU,2007,64888
Poblacion Total,BOL,2007,9711152
Poblacion Total,BRA,2007,190779453
Poblacion Total,BRB,2007,271444
Poblacion Total,BRN,2007,378748
Poblacion Total,BTN,2007,681614
Poblacion Total,BWA,2007,1966977
Poblacion Total,CAF,2007,4375569
Poblacion Total,CAN,2007,32889025
Poblacion Total,CEB,2007,105378748
Poblacion Total,CHE,2007,7551117
Poblacion Total,CHI,2007,153225
Poblacion Total,CHL,2007,16495538
Poblacion Total,CHN,2007,1317885000
Poblacion Total,CIV,2007,19817700
Poblacion Total,CMR,2007,18251866
Poblacion Total,COD,2007,60289422
Poblacion Total,COG,2007,3956329
Poblacion Total,COL,2007,43306582
Poblacion Total,COM,2007,616899
Poblacion Total,CPV,2007,504733
Poblacion Total,CRI,2007,4440019
Poblacion Total,CSS,2007,6884705
Poblacion Total,CUB,2007,11269887
Poblacion Total,CUW,2007,144056
Poblacion Total,CYM,2007,49647
Poblacion Total,CYP,2007,1073873
Poblacion Total,CZE,2007,10298828
Poblacion Total,DEU,2007,82266372
Poblacion Total,DJI,2007,865196
Poblacion Total,DMA,2007,68775
Poblacion Total,DNK,2007,5461438
Poblacion Total,DOM,2007,9402206
Poblacion Total,DZA,2007,33983827
Poblacion Total,EAP,2007,1926306467
Poblacion Total,EAR,2007,2814101547
Poblacion Total,EAS,2007,2164155292
Poblacion Total,ECA,2007,373795966
Poblacion Total,ECS,2007,878767025
Poblacion Total,ECU,2007,14251835
Poblacion Total,EGY,2007,82218755
Poblacion Total,EMU,2007,332660837
Poblacion Total,ERI,2007,2926168
Poblacion Total,ESP,2007,45226803
Poblacion Total,EST,2007,1340680
Poblacion Total,ETH,2007,81996185
Poblacion Total,EUU,2007,438484072
Poblacion Total,FCS,2007,723581503
Poblacion Total,FIN,2007,5288720
Poblacion Total,FJI,2007,890648
Poblacion Total,FRA,2007,64021737
Poblacion Total,FRO,2007,48361
Poblacion Total,FSM,2007,109532
Poblacion Total,GAB,2007,1549774
Poblacion Total,GBR,2007,61322463
Poblacion Total,GEO,2007,3860158
Poblacion Total,GHA,2007,23708320
Poblacion Total,GIB,2007,29996
Poblacion Total,GIN,2007,9547082
Poblacion Total,GMB,2007,1764883
Poblacion Total,GNB,2007,1450572
Poblacion Total,GNQ,2007,948814
Poblacion Total,GRC,2007,11048473
Poblacion Total,GRD,2007,111725
Poblacion Total,GRL,2007,56555
Poblacion Total,GTM,2007,13477017
Poblacion Total,GUM,2007,164763
Poblacion Total,GUY,2007,756521
Poblacion Total,HIC,2007,1154791752
Poblacion Total,HKG,2007,6916300
Poblacion Total,HND,2007,7924462
Poblacion Total,HPC,2007,579864063
Poblacion Total,HRV,2007,4310217
Poblacion Total,HTI,2007,9420826
Poblacion Total,HUN,2007,10055780
Poblacion Total,IBD,2007,4295135714
Poblacion Total,IBT,2007,5612900975
Poblacion Total,IDA,2007,1317765261
Poblacion Total,IDB,2007,439576756
Poblacion Total,IDN,2007,234858289
Poblacion Total,IDX,2007,878188505
Poblacion Total,IMN,2007,81100
Poblacion Total,IND,2007,1189691809
Poblacion Total,INX,2007,
Poblacion Total,IRL,2007,4398942
Poblacion Total,IRN,2007,72319418
Poblacion Total,IRQ,2007,28660887
Poblacion Total,ISL,2007,311566
Poblacion Total,ISR,2007,7180100
Poblacion Total,ITA,2007,58438310
Poblacion Total,JAM,2007,2701221
Poblacion Total,JOR,2007,6473457
Poblacion Total,JPN,2007,128001000
Poblacion Total,KAZ,2007,15484192
Poblacion Total,KEN,2007,38036793
Poblacion Total,KGZ,2007,5268400
Poblacion Total,KHM,2007,13714791
Poblacion Total,KIR,2007,101998
Poblacion Total,KNA,2007,47015
Poblacion Total,KOR,2007,48683638
Poblacion Total,KWT,2007,2506769
Poblacion Total,LAC,2007,511989821
Poblacion Total,LAO,2007,6041348
Poblacion Total,LBN,2007,4809608
Poblacion Total,LBR,2007,3632740
Poblacion Total,LBY,2007,6097177
Poblacion Total,LCA,2007,167518
Poblacion Total,LCN,2007,569972223
Poblacion Total,LDC,2007,786317083
Poblacion Total,LIC,2007,469010772
Poblacion Total,LIE,2007,35150
Poblacion Total,LKA,2007,20078655
Poblacion Total,LMC,2007,2555229019
Poblacion Total,LMY,2007,5535561492
Poblacion Total,LSO,2007,1983465
Poblacion Total,LTE,2007,2142132712
Poblacion Total,LTU,2007,3231294
Poblacion Total,LUX,2007,479993
Poblacion Total,LVA,2007,2200325
Poblacion Total,MAC,2007,515330
Poblacion Total,MAF,2007,34887
Poblacion Total,MAR,2007,31232633
Poblacion Total,MCO,2007,31823
Poblacion Total,MDA,2007,2874299
Poblacion Total,MDG,2007,19924958
Poblacion Total,MDV,2007,325126
Poblacion Total,MEA,2007,371324802
Poblacion Total,MEX,2007,108302973
Poblacion Total,MHL,2007,54038
Poblacion Total,MIC,2007,5066550720
Poblacion Total,MKD,2007,2043559
Poblacion Total,MLI,2007,14080912
Poblacion Total,MLT,2007,406724
Poblacion Total,MMR,2007,48445647
Poblacion Total,MNA,2007,324080392
Poblacion Total,MNE,2007,615875
Poblacion Total,MNG,2007,2605643
Poblacion Total,MNP,2007,63050
Poblacion Total,MOZ,2007,21280513
Poblacion Total,MRT,2007,3153508
Poblacion Total,MUS,2007,1239630
Poblacion Total,MWI,2007,13495463
Poblacion Total,MYS,2007,27092604
Poblacion Total,NAC,2007,334185120
Poblacion Total,NAM,2007,2011492
Poblacion Total,NCL,2007,239250
Poblacion Total,NER,2007,14897873
Poblacion Total,NGA,2007,148294028
Poblacion Total,NIC,2007,5607453
Poblacion Total,NLD,2007,16381696
Poblacion Total,NOR,2007,4709153
Poblacion Total,NPL,2007,26713655
Poblacion Total,NRU,2007,10267
Poblacion Total,NZL,2007,4223800
Poblacion Total,OED,2007,1264209610
Poblacion Total,OMN,2007,2605700
Poblacion Total,OSS,2007,24697686
Poblacion Total,PAK,2007,181924521
Poblacion Total,PAN,2007,3431614
Poblacion Total,PER,2007,28600387
Poblacion Total,PHL,2007,89561377
Poblacion Total,PLW,2007,19366
Poblacion Total,PNG,2007,6921066
Poblacion Total,POL,2007,38120560
Poblacion Total,PRE,2007,677333522
Poblacion Total,PRI,2007,3782995
Poblacion Total,PRK,2007,24356506
Poblacion Total,PRT,2007,10542964
Poblacion Total,PRY,2007,5590145
Poblacion Total,PSE,2007,3494496
Poblacion Total,PSS,2007,2226078
Poblacion Total,PST,2007,1058252873
Poblacion Total,PYF,2007,278178
Poblacion Total,QAT,2007,1231893
Poblacion Total,ROU,2007,20882982
Poblacion Total,RUS,2007,142805114
Poblacion Total,RWA,2007,9523168
Poblacion Total,SAS,2007,1589454615
Poblacion Total,SAU,2007,26400068
Poblacion Total,SDN,2007,31191163
Poblacion Total,SEN,2007,11563869
Poblacion Total,SGP,2007,4588599
Poblacion Total,SLB,2007,504619
Poblacion Total,SLE,2007,5939163
Poblacion Total,SLV,2007,6044131
Poblacion Total,SMR,2007,30372
Poblacion Total,SOM,2007,11118092
Poblacion Total,SRB,2007,7381579
Poblacion Total,SSA,2007,809934231
Poblacion Total,SSD,2007,8417823
Poblacion Total,SSF,2007,810019264
Poblacion Total,SST,2007,33808469
Poblacion Total,STP,2007,169845
Poblacion Total,SUR,2007,527946
Poblacion Total,SVK,2007,5374622
Poblacion Total,SVN,2007,2018122
Poblacion Total,SWE,2007,9148092
Poblacion Total,SWZ,2007,1084008
Poblacion Total,SXM,2007,33811
Poblacion Total,SYC,2007,85033
Poblacion Total,SYR,2007,20703005
Poblacion Total,TCA,2007,26268
Poblacion Total,TCD,2007,10722731
Poblacion Total,TEA,2007,1901960228
Poblacion Total,TEC,2007,437109725
Poblacion Total,TGO,2007,6047537
Poblacion Total,THA,2007,66826754
Poblacion Total,TJK,2007,7188391
Poblacion Total,TKM,2007,5024894
Poblacion Total,TLA,2007,553771247
Poblacion Total,TLS,2007,1019362
Poblacion Total,TMN,2007,320585896
Poblacion Total,TON,2007,106638
Poblacion Total,TSA,2007,1589454615
Poblacion Total,TSS,2007,810019264
Poblacion Total,TTO,2007,1384861
Poblacion Total,TUN,2007,10580395
Poblacion Total,TUR,2007,70468869
Poblacion Total,TUV,2007,10149
Poblacion Total,TZA,2007,41716497
Poblacion Total,UGA,2007,29629804
Poblacion Total,UKR,2007,46509355
Poblacion Total,UMC,2007,2511321701
Poblacion Total,URY,2007,3328651
Poblacion Total,USA,2007,301231207
Poblacion Total,UZB,2007,26868000
Poblacion Total,VCT,2007,110824
Poblacion Total,VEN,2007,27525097
Poblacion Total,VGB,2007,25191
Poblacion Total,VIR,2007,108337
Poblacion Total,VNM,2007,84762269
Poblacion Total,VUT,2007,228345
Poblacion Total,WLD,2007,6717878341
Poblacion Total,WSM,2007,190478
Poblacion Total,XKX,2007,1733404
Poblacion Total,YEM,2007,22641538
Poblacion Total,ZAF,2007,49996094
Poblacion Total,ZMB,2007,12402073
Poblacion Total,ZWE,2007,12450568
Poblacion Total,ABW,2008,97996
Poblacion Total,AFG,2008,26427199
Poblacion Total,AGO,2008,21691522
Poblacion Total,ALB,2008,2947314
Poblacion Total,AND,2008,76055
Poblacion Total,ARB,2008,346630443
Poblacion Total,ARE,2008,6988685
Poblacion Total,ARG,2008,40273769
Poblacion Total,ARM,2008,2983421
Poblacion Total,ASM,2008,55891
Poblacion Total,ATG,2008,83251
Poblacion Total,AUS,2008,21249199
Poblacion Total,AUT,2008,8321496
Poblacion Total,AZE,2008,8763400
Poblacion Total,BDI,2008,8278109
Poblacion Total,BEL,2008,10709973
Poblacion Total,BEN,2008,8906469
Poblacion Total,BFA,2008,15197915
Poblacion Total,BGD,2008,145421318
Poblacion Total,BGR,2008,7492561
Poblacion Total,BHR,2008,1110343
Poblacion Total,BHS,2008,362795
Poblacion Total,BIH,2008,3943392
Poblacion Total,BLR,2008,9527985
Poblacion Total,BLZ,2008,305671
Poblacion Total,BMU,2008,65273
Poblacion Total,BOL,2008,9880593
Poblacion Total,BRA,2008,192672317
Poblacion Total,BRB,2008,272635
Poblacion Total,BRN,2008,384568
Poblacion Total,BTN,2008,689737
Poblacion Total,BWA,2008,2007320
Poblacion Total,CAF,2008,4467233
Poblacion Total,CAN,2008,33247118
Poblacion Total,CEB,2008,105001883
Poblacion Total,CHE,2008,7647675
Poblacion Total,CHI,2008,154475
Poblacion Total,CHL,2008,16661462
Poblacion Total,CHN,2008,1324655000
Poblacion Total,CIV,2008,20244449
Poblacion Total,CMR,2008,18777081
Poblacion Total,COD,2008,62249724
Poblacion Total,COG,2008,4089602
Poblacion Total,COL,2008,43815313
Poblacion Total,COM,2008,629470
Poblacion Total,CPV,2008,510336
Poblacion Total,CRI,2008,4501921
Poblacion Total,CSS,2008,6923924
Poblacion Total,CUB,2008,11276609
Poblacion Total,CUW,2008,145880
Poblacion Total,CYM,2008,51123
Poblacion Total,CYP,2008,1092390
Poblacion Total,CZE,2008,10384603
Poblacion Total,DEU,2008,82110097
Poblacion Total,DJI,2008,882886
Poblacion Total,DMA,2008,68782
Poblacion Total,DNK,2008,5493621
Poblacion Total,DOM,2008,9522948
Poblacion Total,DZA,2008,34569592
Poblacion Total,EAP,2008,1940768141
Poblacion Total,EAR,2008,2857856055
Poblacion Total,EAS,2008,2179914111
Poblacion Total,ECA,2008,375281256
Poblacion Total,ECS,2008,882357452
Poblacion Total,ECU,2008,14496797
Poblacion Total,EGY,2008,83844783
Poblacion Total,EMU,2008,334290264
Poblacion Total,ERI,2008,3005779
Poblacion Total,ESP,2008,45954106
Poblacion Total,EST,2008,1337090
Poblacion Total,ETH,2008,84357105
Poblacion Total,EUU,2008,439892213
Poblacion Total,FCS,2008,741028426
Poblacion Total,FIN,2008,5313399
Poblacion Total,FJI,2008,896731
Poblacion Total,FRA,2008,64379696
Poblacion Total,FRO,2008,48411
Poblacion Total,FSM,2008,108704
Poblacion Total,GAB,2008,1599978
Poblacion Total,GBR,2008,61806995
Poblacion Total,GEO,2008,3848449
Poblacion Total,GHA,2008,24326087
Poblacion Total,GIB,2008,30398
Poblacion Total,GIN,2008,9779785
Poblacion Total,GMB,2008,1820542
Poblacion Total,GNB,2008,1488431
Poblacion Total,GNQ,2008,994971
Poblacion Total,GRC,2008,11077841
Poblacion Total,GRD,2008,112478
Poblacion Total,GRL,2008,56328
Poblacion Total,GTM,2008,13739299
Poblacion Total,GUM,2008,164725
Poblacion Total,GUY,2008,754150
Poblacion Total,HIC,2008,1164409232
Poblacion Total,HKG,2008,6957800
Poblacion Total,HND,2008,8101777
Poblacion Total,HPC,2008,596301357
Poblacion Total,HRV,2008,4309705
Poblacion Total,HTI,2008,9575247
Poblacion Total,HUN,2008,10038188
Poblacion Total,IBD,2008,4338335015
Poblacion Total,IBT,2008,5686803916
Poblacion Total,IDA,2008,1348468901
Poblacion Total,IDB,2008,450269469
Poblacion Total,IDN,2008,237936543
Poblacion Total,IDX,2008,898199432
Poblacion Total,IMN,2008,81997
Poblacion Total,IND,2008,1206734806
Poblacion Total,INX,2008,
Poblacion Total,IRL,2008,4489544
Poblacion Total,IRN,2008,73318394
Poblacion Total,IRQ,2008,29218381
Poblacion Total,ISL,2008,317414
Poblacion Total,ISR,2008,7308800
Poblacion Total,ITA,2008,58826731
Poblacion Total,JAM,2008,2711373
Poblacion Total,JOR,2008,6632873
Poblacion Total,JPN,2008,128063000
Poblacion Total,KAZ,2008,15776938
Poblacion Total,KEN,2008,39186895
Poblacion Total,KGZ,2008,5318700
Poblacion Total,KHM,2008,13943888
Poblacion Total,KIR,2008,103966
Poblacion Total,KNA,2008,47156
Poblacion Total,KOR,2008,49054708
Poblacion Total,KWT,2008,2650930
Poblacion Total,LAC,2008,517759389
Poblacion Total,LAO,2008,6135861
Poblacion Total,LBN,2008,4887613
Poblacion Total,LBR,2008,3783887
Poblacion Total,LBY,2008,6228370
Poblacion Total,LCA,2008,168576
Poblacion Total,LCN,2008,576386180
Poblacion Total,LDC,2008,804637337
Poblacion Total,LIC,2008,482640782
Poblacion Total,LIE,2008,35401
Poblacion Total,LKA,2008,20285643
Poblacion Total,LMC,2008,2596637908
Poblacion Total,LMY,2008,5609366954
Poblacion Total,LSO,2008,1995014
Poblacion Total,LTE,2008,2156046215
Poblacion Total,LTU,2008,3198231
Poblacion Total,LUX,2008,488650
Poblacion Total,LVA,2008,2177322
Poblacion Total,MAC,2008,529038
Poblacion Total,MAF,2008,35541
Poblacion Total,MAR,2008,31634992
Poblacion Total,MCO,2008,31862
Poblacion Total,MDA,2008,2868833
Poblacion Total,MDG,2008,20513599
Poblacion Total,MDV,2008,336883
Poblacion Total,MEA,2008,380294099
Poblacion Total,MEX,2008,109684489
Poblacion Total,MHL,2008,53816
Poblacion Total,MIC,2008,5126726172
Poblacion Total,MKD,2008,2046898
Poblacion Total,MLI,2008,14551117
Poblacion Total,MLT,2008,409379
Poblacion Total,MMR,2008,48729486
Poblacion Total,MNA,2008,330293304
Poblacion Total,MNE,2008,616969
Poblacion Total,MNG,2008,2633887
Poblacion Total,MNP,2008,60032
Poblacion Total,MOZ,2008,21845571
Poblacion Total,MRT,2008,3233336
Poblacion Total,MUS,2008,1244121
Poblacion Total,MWI,2008,13889423
Poblacion Total,MYS,2008,27664296
Poblacion Total,NAC,2008,337406357
Poblacion Total,NAM,2008,2038552
Poblacion Total,NCL,2008,242750
Poblacion Total,NER,2008,15455175
Poblacion Total,NGA,2008,152382506
Poblacion Total,NIC,2008,5687744
Poblacion Total,NLD,2008,16445593
Poblacion Total,NOR,2008,4768212
Poblacion Total,NPL,2008,26881544
Poblacion Total,NRU,2008,10243
Poblacion Total,NZL,2008,4259800
Poblacion Total,OED,2008,1273851101
Poblacion Total,OMN,2008,2651028
Poblacion Total,OSS,2008,25375277
Poblacion Total,PAK,2008,185931955
Poblacion Total,PAN,2008,3495276
Poblacion Total,PER,2008,28806185
Poblacion Total,PHL,2008,91252326
Poblacion Total,PLW,2008,19102
Poblacion Total,PNG,2008,7137988
Poblacion Total,POL,2008,38125759
Poblacion Total,PRE,2008,697003893
Poblacion Total,PRI,2008,3760866
Poblacion Total,PRK,2008,24469047
Poblacion Total,PRT,2008,10558177
Poblacion Total,PRY,2008,5645148
Poblacion Total,PSE,2008,3591977
Poblacion Total,PSS,2008,2251506
Poblacion Total,PST,2008,1064631968
Poblacion Total,PYF,2008,280558
Poblacion Total,QAT,2008,1444277
Poblacion Total,ROU,2008,20537875
Poblacion Total,RUS,2008,142742366
Poblacion Total,RWA,2008,9781996
Poblacion Total,SAS,2008,1612709085
Poblacion Total,SAU,2008,27437353
Poblacion Total,SDN,2008,32065241
Poblacion Total,SEN,2008,11872929
Poblacion Total,SGP,2008,4839396
Poblacion Total,SLB,2008,516001
Poblacion Total,SLE,2008,6090860
Poblacion Total,SLV,2008,6068099
Poblacion Total,SMR,2008,30700
Poblacion Total,SOM,2008,11444870
Poblacion Total,SRB,2008,7350222
Poblacion Total,SSA,2008,832555779
Poblacion Total,SSD,2008,8823888
Poblacion Total,SSF,2008,832642735
Poblacion Total,SST,2008,34550707
Poblacion Total,STP,2008,174004
Poblacion Total,SUR,2008,533938
Poblacion Total,SVK,2008,5379233
Poblacion Total,SVN,2008,2021316
Poblacion Total,SWE,2008,9219637
Poblacion Total,SWZ,2008,1089870
Poblacion Total,SXM,2008,33964
Poblacion Total,SYC,2008,86956
Poblacion Total,SYR,2008,21474059
Poblacion Total,TCA,2008,27422
Poblacion Total,TCD,2008,11098664
Poblacion Total,TEA,2008,1916309337
Poblacion Total,TEC,2008,438254595
Poblacion Total,TGO,2008,6222482
Poblacion Total,THA,2008,67328239
Poblacion Total,TJK,2008,7324627
Poblacion Total,TKM,2008,5100083
Poblacion Total,TLA,2008,560186837
Poblacion Total,TLS,2008,1043076
Poblacion Total,TMN,2008,326701327
Poblacion Total,TON,2008,106932
Poblacion Total,TSA,2008,1612709085
Poblacion Total,TSS,2008,832642735
Poblacion Total,TTO,2008,1392803
Poblacion Total,TUN,2008,10680380
Poblacion Total,TUR,2008,71320726
Poblacion Total,TUV,2008,10272
Poblacion Total,TZA,2008,42870884
Poblacion Total,UGA,2008,30509862
Poblacion Total,UKR,2008,46258189
Poblacion Total,UMC,2008,2530088264
Poblacion Total,URY,2008,3336126
Poblacion Total,USA,2008,304093966
Poblacion Total,UZB,2008,27302800
Poblacion Total,VCT,2008,110316
Poblacion Total,VEN,2008,27933833
