Indicator,Code,Year,Pop
Poblacion Total,VEN,1990,19750579
Poblacion Total,VGB,1990,15617
Poblacion Total,VIR,1990,103963
Poblacion Total,VNM,1990,66912613
Poblacion Total,VUT,1990,150882
Poblacion Total,WLD,1990,5293395467
Poblacion Total,WSM,1990,168186
Poblacion Total,XKX,1990,1862000
Poblacion Total,YEM,1990,13375121
Poblacion Total,ZAF,1990,39877570
Poblacion Total,ZMB,1990,7686401
Poblacion Total,ZWE,1990,10113893
Poblacion Total,ABW,1991,67864
Poblacion Total,AFG,1991,10745167
Poblacion Total,AGO,1991,12228691
Poblacion Total,ALB,1991,3266790
Poblacion Total,AND,1991,55434
Poblacion Total,ARB,1991,230837072
Poblacion Total,ARE,1991,2008383
Poblacion Total,ARG,1991,33105763
Poblacion Total,ARM,1991,3617631
Poblacion Total,ASM,1991,48992
Poblacion Total,ATG,1991,63634
Poblacion Total,AUS,1991,17284036
Poblacion Total,AUT,1991,7754891
Poblacion Total,AZE,1991,7271300
Poblacion Total,BDI,1991,5594828
Poblacion Total,BEL,1991,10004486
Poblacion Total,BEN,1991,5293046
Poblacion Total,BFA,1991,9365064
Poblacion Total,BGD,1991,109242834
Poblacion Total,BGR,1991,8632367
Poblacion Total,BHR,1991,535415
Poblacion Total,BHS,1991,276058
Poblacion Total,BIH,1991,4502386
Poblacion Total,BLR,1991,10194050
Poblacion Total,BLZ,1991,186462
Poblacion Total,BMU,1991,59021
Poblacion Total,BOL,1991,7244891
Poblacion Total,BRA,1991,153336445
Poblacion Total,BRB,1991,259402
Poblacion Total,BRN,1991,269860
Poblacion Total,BTN,1991,567710
Poblacion Total,BWA,1991,1380584
Poblacion Total,CAF,1991,2898052
Poblacion Total,CAN,1991,28037420
Poblacion Total,CEB,1991,110469467
Poblacion Total,CHE,1991,6799978
Poblacion Total,CHI,1991,141557
Poblacion Total,CHL,1991,13561945
Poblacion Total,CHN,1991,1150780000
Poblacion Total,CIV,1991,12369269
Poblacion Total,CMR,1991,11777719
Poblacion Total,COD,1991,37194812
Poblacion Total,COG,1991,2452675
Poblacion Total,COL,1991,33272628
Poblacion Total,COM,1991,442277
Poblacion Total,CPV,1991,372721
Poblacion Total,CRI,1991,3239414
Poblacion Total,CSS,1991,6100213
Poblacion Total,CUB,1991,10713812
